id	bpm	root	scale	group	split	license	sha256	keyAbsent
102375	130.0	-1		sandyrb	fit	http://creativecommons.org/licenses/by/3.0/	4e3b0f4f737fd7b4bf50a33761639174bc1224ab1c40b294f200a49e21bac329	1
413081	114.0	-1		stixthule	fit	http://creativecommons.org/publicdomain/zero/1.0/	aadfe9b100617b9131bd387aebacbba9279cf1c1d87e01b5d47d358ff05e4ba3	1
331295	128.0	-1		djfroyd	fit	http://creativecommons.org/licenses/by/3.0/	886cac9f4a7012676c03f32f7dacda12c9dbb3a7f708905e09d67f61647f80b7	1
167900	85.0	-1		digitalvalues	fit	http://creativecommons.org/licenses/by/3.0/	f736e29459ba2981ea5dc86c826213dedcc0f6b60b4662f5919d532b0a117a8b	1
53563	130.0	4	natural_minor	KatHakaku	test	http://creativecommons.org/publicdomain/zero/1.0/	cddc48a483d0814c4237e49e865adba13a584711f835331dcad5c80cbbaef899	0
98707	120.0	-1		jordanielmills	fit	http://creativecommons.org/licenses/by/3.0/	0baffa5cc8e8376192d651609b10ac5fbd49e75a7916edba5bd196f5f4b71cd6	1
462026	120.0	6	major	DTOS	fit	http://creativecommons.org/publicdomain/zero/1.0/	86d3789a3f70b5e872f95973c2af78410145653557f77e35b7ba66e5fbaf40b2	0
350766	82.0	0	natural_minor	ReyHolliday	test	http://creativecommons.org/licenses/by/3.0/	ffb8dd5527ee9e0a72272e3148d2594b0d171cc2cb08f9ea3976caa19f2cbc32	0
133437	170.0	-1		DjDust	calibration	http://creativecommons.org/licenses/by/3.0/	4cc4cc7ee8c71b736fd8c3177c84a45e99c5871101160938c71c5ef09b091818	1
477282	128.0	1	natural_minor	Erokia	calibration	http://creativecommons.org/licenses/by/3.0/	24c99f6d88d25c6cf13445a845746b13f7e8fe28479bd91493f24159dcab9cc9	0
479408	150.0	5	natural_minor	itsmochajones	test	http://creativecommons.org/licenses/by/3.0/	3f9b3c272076f1525324db865424c73784f30ff0856d06db7a6ae85fef314b8c	0
102021	110.0	-1		RytmenPinnen	calibration	http://creativecommons.org/publicdomain/zero/1.0/	afdc4006cdd630df00ad5067868785a06fa81eaae990b277b8aebfd0439e9375	1
