id	bpm	root	scale	group	split	license	md5	sha256
400259.LOFI.mp3	174.0	7	natural_minor	400259.LOFI	test	research-preview	0b1c8f81a0cac448ee70228437db9734	2db67399c62cfcb0980bb527e92f9081a3192a47aabee821931f55a9458d4257
1234669.LOFI.mp3	174.0	7	natural_minor	1234669.LOFI	test	research-preview	9fef4256ab681a15f53a289a83db9141	42da35abe6c5927e016980fbf549d0aef5706c3756efce0b1aedcbe61082514c
4162405.LOFI.mp3	129.0	9	natural_minor	4162405.LOFI	test	research-preview	5066fc8faf775866be60e4f7a7aae08c	d675367865a5a5ef4d6f292bb76583930ce8e9f586dc78b1c915baf76d8d0d3a
1234668.LOFI.mp3	174.0	7	natural_minor	1234668.LOFI	test	research-preview	8edbf8cfea38f7145e847dba21725181	407c6a203b7bf473b064ceb3c18654bd82782975f04d40cfdd2b43794f0fb2c9
3596904.LOFI.mp3	129.0	9	major	3596904.LOFI	test	research-preview	cfaf3f7c01e03370c522eb2e5f5742a1	f92837d51ad875791cfd2f161325f0e8bbe7047c8f0950e1152682aa3c771c6a
3317417.LOFI.mp3	127.0	7	natural_minor	3317417.LOFI	test	research-preview	9a4aa626fa9cf2ba3b2cd3a9d0f76e66	124248f32c312c332c2f4a066a5d43c2332c16a733d42830ef411bc895afe59e
4666231.LOFI.mp3	174.0	5	natural_minor	4666231.LOFI	test	research-preview	956ff8dc78e6def67e02d43208a49d70	dc325dca7cb8ec70710e40331c97ec3360de0b2d32a33c0e8ccf3990a9b748d6
4366506.LOFI.mp3	197.0	3	natural_minor	4366506.LOFI	test	research-preview	1e37b16fd245364289acdd94bdf3bcb0	e0a005cde02953a8bc01bcd6c3fbfe5b7d0a83d52f3875c9163141ea4b0b492e
4360488.LOFI.mp3	174.0	5	natural_minor	4360488.LOFI	test	research-preview	2ad623c8a28154b23671791c52e6a87c	5b5454b5b4468fe02ca0a4dece1a5242a83f6139d0975a9e7bdaa6bd32d9d6ae
5078640.LOFI.mp3	172.0	5	natural_minor	5078640.LOFI	test	research-preview	81934d0ae3094e34e381715ba50b8946	4a9ad014c85ae411426eb9b9e5c38ff55a632e3a122caa4f22411b097fc325aa
5171396.LOFI.mp3	174.0	8	major	5171396.LOFI	test	research-preview	046d07eb5e5853986f73aaffd15eed0e	e7d1663af755994ca50ec8c3070cb249b93d8a23f312d06567cebd39e0229804
4823611.LOFI.mp3	127.0	9	natural_minor	4823611.LOFI	test	research-preview	da16cca3e588728fbd9e1322b1c95efa	2bd66a0d80481090a45c22cdb7d6e3caee290e6f2a2eb737467f5381ee80120d
